"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.40902,7,3.9446e+06,1,5688,1.225,241.07,0.36215,0.0033589,119.29,0.10462,121.26,197.97,-7.2096e+05,-7.2096e+05,0.24912,6090.4,362.32,8.0494,0.60939,0.45246,14.233,18.064,0.00056896,-12.187,21.791,1.7894e-05,2.9368e-06,5970,0.15258,18.064,6.0235,0.00056896,-12.187,1,-0.1765,0,-0.26168
0.40423,7,4.6807e+06,1,5688,1.225,240.44,0.36215,0.0033589,150.75,0.099379,119.83,195.65,-6.8198e+05,-6.8198e+05,0.22149,5967,360.28,7.4247,0.5966,0.43454,13.881,18.09,0.0017503,-11.738,21.565,1.7894e-05,2.5474e-06,5851.5,0.13566,18.09,5.3764,0.0017503,-11.738,1,-0.17191,0,-0.26472
0.40222,7,4.0523e+06,1,5688,1.225,240.52,0.36215,0.0033589,896.51,0.094027,119.24,194.67,-7.4767e+05,-7.4767e+05,0.20783,6030.6,359.75,6.814,0.58328,0.41638,14.378,18.095,0.0052538,-11.293,21.33,1.7894e-05,4.2101e-06,5903.5,0.1273,18.095,4.4697,0.0052538,-11.293,1,-0.16726,0,-0.26768
0.39952,7,3.8626e+06,1,5688,1.225,243.7,0.36215,0.0033589,690.68,0.090636,118.44,193.37,-7.2388e+05,-7.2388e+05,0.21327,6161.4,362.14,6.4275,0.57353,0.40279,12.647,18.518,0.0013902,-11.124,21.603,1.7894e-05,1.8731e-06,6042.2,0.13063,18.518,5.0787,0.0013902,-11.124,1,-0.16257,0,-0.27056
0.39782,7,4.0908e+06,1,5688,1.225,244.35,0.36215,0.0033589,823.56,0.086879,117.93,192.54,-7.4937e+05,-7.4937e+05,0.2182,6089.9,362.29,6.0224,0.56304,0.38866,11.998,18.765,0.0018938,-10.831,21.667,1.7894e-05,1.4707e-06,5965.6,0.13365,18.765,5.176,0.0018938,-10.831,1,-0.15782,0,-0.27335
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15303,0,-0.27606
0.39642,7,4.1722e+06,1,5688,1.225,238.2,0.36215,0.0033589,501.51,0.077984,117.52,191.87,-7.5638e+05,-7.5638e+05,0.12063,5845,355.72,5.0476,0.53841,0.35692,14.844,18.206,0.00079607,-9.6537,20.607,1.7894e-05,4.2612e-06,5712.4,0.073885,18.206,2.6535,0.00079607,-9.6537,1,-0.14818,0,-0.27869
0.39541,7,3.9049e+06,1,5688,1.225,244.17,0.36215,0.0033589,1381.8,0.075768,117.22,191.38,-8.2393e+05,-8.2393e+05,0.23363,6457.8,361.39,4.8183,0.53085,0.34696,10.87,19.288,0.0026547,-9.8232,21.646,1.7894e-05,1.4512e-06,6329.6,0.1431,19.288,4.8793,0.0026547,-9.8232,1,-0.1433,0,-0.28124
0.39632,7,3.9843e+06,1,5688,1.225,238.48,0.36215,0.0033589,297.54,0.072107,117.49,191.82,-7.1876e+05,-7.1876e+05,0.13952,5962.6,355.97,4.4279,0.51963,0.33298,13.165,18.747,0.0035651,-9.1397,20.857,1.7894e-05,2.6661e-06,5839.3,0.085458,18.747,3.4138,0.0035651,-9.1397,1,-0.13837,0,-0.2837
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1334,0,-0.28607
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12838,0,-0.28835
0.39935,7,4.2583e+06,1,5688,1.225,233.25,0.36215,0.0033589,1026.1,0.062721,118.39,193.29,-8.9581e+05,-8.9581e+05,0.16724,6073.8,351.64,3.4638,0.48701,0.29316,13.814,19.067,0.011581,-8.0641,20.702,1.7894e-05,3.6915e-06,5920.8,0.10244,19.067,3.3203,0.011581,-8.0641,1,-0.12333,0,-0.29055
0.4019,7,4.7424e+06,1,5688,1.225,231.71,0.36215,0.0033589,441.84,0.060365,119.14,194.52,-7.8339e+05,-7.8339e+05,0.17289,6352.6,350.85,3.2185,0.47752,0.28176,12.923,19.28,0.0035965,-7.7542,20.781,1.7894e-05,3.0128e-06,6222.9,0.10589,19.28,3.7501,0.0035965,-7.7542,1,-0.11824,0,-0.29266
0.40412,7,1.5571e+06,1,5688,1.225,233.49,0.36215,0.0033589,787.64,0.057765,119.8,195.59,-7.8542e+05,-7.8542e+05,0.147,6911.1,353.29,2.9602,0.46704,0.26956,11.886,19.208,0.0024903,-7.3534,20.568,1.7894e-05,2.5768e-06,6786.7,0.090039,19.208,2.8561,0.0024903,-7.3534,1,-0.11312,0,-0.29468
0.4061,7,1.7643e+06,1,5688,1.225,233.03,0.36215,0.0033589,1187.8,0.056211,120.39,196.55,-8.7797e+05,-8.7797e+05,0.24279,7171.7,353.42,2.7682,0.45929,0.26021,9.2753,20.062,-0.000741,-7.2998,21.349,1.7894e-05,5.9001e-07,7048.1,0.14871,20.062,4.9338,-0.000741,-7.2998,1,-0.10796,0,-0.2966
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10276,0,-0.29844
0.41239,7,1.9598e+06,1,5688,1.225,227.25,0.36215,0.0033589,503.12,0.051375,122.25,199.6,-1.0291e+06,-1.0291e+06,0.33617,8158.6,349.5,2.2673,0.43633,0.23422,8.5317,20.644,0.0013248,-6.7031,21.705,1.7894e-05,4.8609e-07,8033.3,0.2059,20.644,6.0982,0.0013248,-6.7031,1,-0.097538,0,-0.30019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092284,0,-0.30185
0.423,7,1.9188e+06,1,5688,1.225,220.19,0.36215,0.0033589,1487.7,0.046814,125.4,204.73,-8.8536e+05,-8.8536e+05,0.34812,8268.9,345.59,1.7807,0.4109,0.20651,9.1558,20.806,0.0024165,-5.9546,21.642,1.7894e-05,7.9458e-07,8153.4,0.21322,20.806,6.6902,0.0024165,-5.9546,1,-0.087002,0,-0.30341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081694,0,-0.30488
0.4371,7,2.1656e+06,1,5688,1.225,213.24,0.36215,0.0033589,1676.8,0.042887,129.58,211.56,-9.0283e+05,-9.0283e+05,0.41377,9698.5,342.82,1.3714,0.38508,0.17963,7.7662,20.846,0.0061177,-5.1898,21.482,1.7894e-05,5.6789e-07,9590.5,0.25343,20.846,6.233,0.0061177,-5.1898,1,-0.07636,0,-0.30626
0.44833,7,1.7965e+06,1,5688,1.225,206.55,0.36215,0.0033589,1020.3,0.039296,132.91,216.99,-1.1514e+06,-1.1514e+06,0.22275,8625.7,339.46,1.103,0.36476,0.16047,9.2019,19.537,0.024289,-4.4668,20.042,1.7894e-05,9.4552e-07,8458.3,0.13643,19.537,3.874,0.024289,-4.4668,1,-0.071004,0,-0.30755
0.46216,7,1.3862e+06,1,5688,1.225,204.12,0.36215,0.0033589,1704.3,0.03834,137.01,223.69,-1.6022e+06,-1.6022e+06,0.42625,9159,341.13,0.95206,0.35219,0.14782,7.8856,21.094,0.0029642,-4.4714,21.563,1.7894e-05,4.3937e-07,8973.1,0.26108,21.094,7.5248,0.0029642,-4.4714,1,-0.065625,0,-0.30874
0.48111,7,1.64e+06,1,5688,1.225,193.78,0.36215,0.0033589,2527.5,0.033972,142.62,232.86,-1.0226e+06,-1.0226e+06,0.23189,8707.2,336.41,0.70222,0.32546,0.12536,9.6875,19.138,0.030745,-3.6317,19.481,1.7894e-05,1.0207e-06,8499.6,0.14203,19.138,3.6757,0.030745,-3.6317,1,-0.060227,0,-0.30984
0.50571,7,2.2579e+06,1,5688,1.225,193.33,0.36215,0.0033589,2703.6,0.034284,149.92,244.76,-1.6612e+06,-1.6612e+06,0.52983,11600,343.25,0.59522,0.31404,0.11373,6.444,21.238,0.0020534,-3.7279,21.563,1.7894e-05,2.8893e-07,11444,0.32452,21.238,7.7512,0.0020534,-3.7279,1,-0.05481,0,-0.31084
0.53989,7,4.5132e+05,1,5688,1.225,172.94,0.36215,0.0033589,3334.2,0.031892,160.05,261.31,-2.0032e+06,-2.0032e+06,0.59412,10080,332.99,0.42437,0.28909,0.093539,7.2677,21.602,0.0013094,-3.4137,21.871,1.7894e-05,3.6572e-07,9869.7,0.3639,21.602,10.866,0.0013094,-3.4137,1,-0.049377,0,-0.31175
