"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_Lift","helicity","laminar_kinetic_energy","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.23682,7,2.1131e+06,1,6552,1.225,4.2945,0.38162,0.10885,-3360.8,1.0552,-114.62,-1.5209e+06,-1.5209e+06,0,16012,-65.91,4291.5,2.8292,10.967,70.029,1.0078,-0.19184,-2.0703,2.5719,1.7894e-05,0.00019824,15963,0,1.0078,0,-0.19184,-2.0703,1,0.27602,0,0.153
-0.22945,7,2.1839e+06,1,6552,1.225,2.6272,0.38162,0.10885,-4390.7,1.1327,-111.05,-4.26e+06,-4.26e+06,0,19634,-65.392,4657.5,2.8439,11.033,65.32,0.62691,-0.21169,-1.2775,2.0419,1.7894e-05,0.00017285,19530,0,0.62691,0,-0.21169,-1.2775,1,0.27331,0,0.15779
-0.22345,7,2.2695e+06,1,6552,1.225,2.0347,0.38162,0.10885,-4694.5,1.1438,-108.15,-4.8984e+06,-4.8984e+06,0,21260,-64.208,4588.8,2.8107,10.748,62.82,0.33573,-0.21018,-0.72942,1.7729,1.7894e-05,0.00015981,21143,0,0.33573,0,-0.21018,-0.72942,1,0.27051,0,0.16254
-0.21959,7,2.38e+06,1,6552,1.225,1.3095,0.38162,0.10885,-3404.9,1.0485,-106.28,-1.5557e+06,-1.5557e+06,0,17338,-63.788,3855.6,2.7249,10.107,64.426,0.28396,-0.19362,-0.65539,1.3663,1.7894e-05,0.00016657,17288,0,0.28396,0,-0.19362,-0.65539,1,0.26764,0,0.16724
-0.21685,7,2.4703e+06,1,6552,1.225,1.3477,0.38162,0.10885,-3384.2,1.0818,-104.95,-1.4964e+06,-1.4964e+06,0,19378,-62.936,3891.6,2.7101,9.962,62.12,-0.080349,-0.17573,-0.04653,1.2427,1.7894e-05,0.00015375,19335,0,-0.080349,0,-0.17573,-0.04653,1,0.26468,0,0.17188
-0.21547,7,2.5574e+06,1,6552,1.225,2.226,0.38162,0.10885,-3745.9,1.1393,-104.29,-1.5885e+06,-1.5885e+06,0,22744,-61.651,4040.3,2.7067,9.8873,58.882,-0.54038,-0.15895,0.66531,1.4381,1.7894e-05,0.00013692,22702,0,-0.54038,0,-0.15895,0.66531,1,0.26164,0,0.17648
-0.21649,7,2.6784e+06,1,6552,1.225,1.767,0.38162,0.10885,-2426,1.0541,-104.78,-1.1383e+06,-1.1383e+06,0,18911,-62.412,3422,2.6262,9.3126,60.479,-0.60879,-0.12979,0.7113,1.3119,1.7894e-05,0.00014277,18871,0,-0.60879,0,-0.12979,0.7113,1,0.25852,0,0.18101
-0.2188,7,2.781e+06,1,6552,1.225,2.9149,0.38162,0.10885,-1868.2,1.0712,-105.9,-2.1878e+06,-2.1878e+06,0,20244,-61.948,3360.4,2.604,9.124,58.738,-0.98151,-0.098159,1.2008,1.7635,1.7894e-05,0.00013303,20178,0,-0.98151,0,-0.098159,1.2008,1,0.25532,0,0.1855
-0.22245,7,2.8844e+06,1,6552,1.225,4.7413,0.38162,0.10885,-1188,1.104,-107.67,-4.3135e+06,-4.3135e+06,0,22176,-61.205,3362.4,2.5934,9.012,56.813,-1.4052,-0.066267,1.7401,2.3683,1.7894e-05,0.00012251,22061,0,-1.4052,0,-0.066267,1.7401,1,0.25204,0,0.18993
-0.22745,7,3.0117e+06,1,6552,1.225,5.1294,0.38162,0.10885,-80.208,1.0648,-110.08,-3.9059e+06,-3.9059e+06,0,20019,-62.297,3016.2,2.5432,8.6567,57.605,-1.5923,-0.025364,1.9072,2.5813,1.7894e-05,0.00012377,19904,0,-1.5923,0,-0.025364,1.9072,1,0.24869,0,0.1943
-0.23345,7,3.132e+06,1,6552,1.225,6.7701,0.38162,0.10885,775.14,1.0673,-112.99,-4.0631e+06,-4.0631e+06,0,20233,-62.436,2872.6,2.5139,8.4303,56.749,-1.9285,0.008219,2.2636,3.0423,1.7894e-05,0.00011807,20111,0,-1.9285,0,0.008219,2.2636,1,0.24526,0,0.19861
-0.2404,7,3.2495e+06,1,6552,1.225,9.3914,0.38162,0.10885,1873.5,1.0898,-116.35,-4.3251e+06,-4.3251e+06,0,21645,-61.874,2817,2.495,8.267,55.092,-2.3506,0.047165,2.7056,3.6328,1.7894e-05,0.00010933,21520,0,-2.3506,0,0.047165,2.7056,1,0.24176,0,0.20286
-0.24825,7,3.3799e+06,1,6552,1.225,11.408,0.38162,0.10885,3152.6,1.0896,-120.16,-3.5837e+06,-3.5837e+06,0,21561,-62.187,2666.1,2.466,8.0489,54.536,-2.6845,0.093354,2.9995,4.0617,1.7894e-05,0.00010504,21453,0,-2.6845,0,0.093354,2.9995,1,0.23818,0,0.20705
