"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.76709,7,1.0354e+07,1,6552,1.225,50.586,0.41222,0.45044,0.062609,0.070707,98.03,2.9715,-227.4,-371.27,2.0038e+06,2.0038e+06,0,39337,-176.82,15051,3.9658,20.652,68.649,8.755,0.0011198,1.7033,8.9193,1.7894e-05,0.00015375,39392,0,8.755,0,0.0011198,1.7033,1,-0.060217,0,0.30979
-0.75612,7,1.0356e+07,1,6552,1.225,51.123,0.41222,0.45044,0.062609,0.070707,106.57,2.9812,-224.15,-365.96,2.0625e+06,2.0625e+06,0,39826,-173.03,15200,3.9711,20.707,68.252,8.7694,-0.0010668,1.8636,8.9653,1.7894e-05,0.00015225,39882,0,8.7694,0,-0.0010668,1.8636,1,-0.065615,0,0.30869
-0.74402,7,1.0358e+07,1,6552,1.225,51.37,0.41222,0.45044,0.062609,0.070707,-50.73,2.9974,-220.56,-360.11,2.1244e+06,2.1244e+06,0,40446,-169.19,15410,3.9799,20.797,67.865,8.7541,-0.0041623,2.0207,8.9844,1.7894e-05,0.00015069,40503,0,8.7541,0,-0.0041623,2.0207,1,-0.070992,0,0.3075
-0.73068,7,1.0354e+07,1,6552,1.225,52.049,0.41222,0.45044,0.062609,0.070707,-23.869,2.9911,-216.61,-353.65,2.1171e+06,2.1171e+06,0,40582,-164.56,15457,3.9802,20.807,67.723,8.7763,-0.0049805,2.1869,9.0448,1.7894e-05,0.00015035,40639,0,8.7763,0,-0.0049805,2.1869,1,-0.076348,0,0.30622
-0.71678,7,1.0352e+07,1,6552,1.225,52.565,0.41222,0.45044,0.062609,0.070707,-88.715,2.992,-212.49,-346.92,2.1998e+06,2.1998e+06,0,40773,-159.92,15554,3.984,20.853,67.624,8.781,-0.0074033,2.3492,9.09,1.7894e-05,0.00015016,40832,0,8.781,0,-0.0074033,2.3492,1,-0.081681,0,0.30484
-0.70074,7,1.0357e+07,1,6552,1.225,53.206,0.41222,0.45044,0.062609,0.070707,-318.95,2.9655,-207.73,-339.16,2.0085e+06,2.0085e+06,0,40818,-154.53,15453,3.9735,20.754,67.304,8.7934,-0.011442,2.52,9.1475,1.7894e-05,0.00014908,40871,0,8.7934,0,-0.011442,2.52,1,-0.086988,0,0.30336
-0.68497,7,1.0359e+07,1,6552,1.225,54.61,0.41222,0.45044,0.062609,0.070707,-240.68,2.9395,-203.06,-331.53,2.1749e+06,2.1749e+06,0,39825,-148.45,15359,3.974,20.786,68.296,8.8728,-0.012132,2.7078,9.2771,1.7894e-05,0.00015372,39884,0,8.8728,0,-0.012132,2.7078,1,-0.09227,0,0.3018
-0.66753,7,1.0359e+07,1,6552,1.225,53.756,0.41222,0.45044,0.062609,0.070707,-244.87,2.959,-197.89,-323.08,2.249e+06,2.249e+06,0,41111,-144.13,15598,3.9785,20.822,67.238,8.7445,-0.011638,2.8398,9.1944,1.7894e-05,0.0001491,41170,0,8.7445,0,-0.011638,2.8398,1,-0.097523,0,0.30014
-0.64931,7,1.0356e+07,1,6552,1.225,54.927,0.41222,0.45044,0.062609,0.070707,-194.07,2.9104,-192.49,-314.27,2.0696e+06,2.0696e+06,0,40015,-137.56,15255,3.9605,20.656,67.688,8.7997,-0.013787,3.0224,9.3045,1.7894e-05,0.0001516,40071,0,8.7997,0,-0.013787,3.0224,1,-0.10275,0,0.2984
-0.62972,7,1.0351e+07,1,6552,1.225,53.498,0.41222,0.45044,0.062609,0.070707,-424.1,2.9695,-186.68,-304.79,2.2913e+06,2.2913e+06,0,41334,-133.18,15831,3.9919,20.974,67.517,8.6155,-0.016279,3.1394,9.17,1.7894e-05,0.00015027,41394,0,8.6155,0,-0.016279,3.1394,1,-0.10794,0,0.29656
