"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.77771,7,1.1099e+07,1,5688,1.225,4.8217,0.37528,0.023894,-529.75,6.8508e-05,230.55,376.41,-2.3082e+05,-2.3082e+05,0,46697,235.37,0.00015668,0.0097415,7.4608e-05,0.2767,0.25715,-0.012795,0.64122,2.0941,1.7894e-05,1.4646e-11,46695,0,0.25715,0,-0.012795,0.64122,1,-0.29859,0,0.10281
0.79695,7,1.0835e+07,1,5688,1.225,4.5008,0.37528,0.023894,-1608.3,6.8258e-05,236.26,385.73,-2.3281e+05,-2.3281e+05,0,46199,240.76,0.00015387,0.0097359,7.4694e-05,0.2756,0.12228,-0.029534,0.27292,1.947,1.7894e-05,1.5059e-11,46197,0,0.12228,0,-0.029534,0.27292,1,-0.30034,0,0.097588
0.81582,7,1.0799e+07,1,5688,1.225,4.3982,0.37528,0.023894,-1490.3,6.8012e-05,241.85,394.86,-2.6738e+05,-2.6738e+05,0,45842,246.25,0.00015136,0.0097325,7.485e-05,0.27387,-0.0067365,-0.03008,-0.12977,2.0486,1.7894e-05,1.5477e-11,45838,0,-0.0067365,0,-0.03008,-0.12977,1,-0.302,0,0.092331
0.83384,7,1.1e+07,1,5688,1.225,4.5164,0.37528,0.023894,-1945.2,6.7699e-05,247.19,403.58,-3.3977e+05,-3.3977e+05,0,45522,251.71,0.00014902,0.0097253,7.4967e-05,0.27236,-0.12089,-0.03801,-0.52741,2.1912,1.7894e-05,1.5852e-11,45518,0,-0.12089,0,-0.03801,-0.52741,1,-0.30357,0,0.087046
0.85057,7,1.0841e+07,1,5688,1.225,4.7982,0.37528,0.023894,-528.54,6.7491e-05,252.15,411.68,-2.9695e+05,-2.9695e+05,0,45212,256.95,0.00014708,0.0097283,7.5263e-05,0.27102,-0.21339,-0.014359,-0.90506,2.3301,1.7894e-05,1.629e-11,45209,0,-0.21339,0,-0.014359,-0.90506,1,-0.30504,0,0.081735
0.86708,7,1.1318e+07,1,5688,1.225,5.137,0.37528,0.023894,-241,6.7524e-05,257.05,419.67,-5.1848e+05,-5.1848e+05,0,44466,262.18,0.00014585,0.0097595,7.6147e-05,0.27088,-0.2807,-0.009335,-1.2575,2.4491,1.7894e-05,1.7261e-11,44458,0,-0.2807,0,-0.009335,-1.2575,1,-0.30642,0,0.076399
0.88232,7,1.176e+07,1,5688,1.225,5.7841,0.37528,0.023894,-1041.8,6.7361e-05,261.56,427.04,-5.6583e+05,-5.6583e+05,0,44349,267.35,0.00014434,0.0097643,7.6462e-05,0.26923,-0.34467,-0.022086,-1.6327,2.6142,1.7894e-05,1.7679e-11,44339,0,-0.34467,0,-0.022086,-1.6327,1,-0.30771,0,0.07104
0.89683,7,1.1767e+07,1,5688,1.225,6.5104,0.37528,0.023894,-1486.1,6.7294e-05,265.87,434.07,-8.0151e+05,-8.0151e+05,0,44008,272.38,0.00014325,0.0097845,7.7136e-05,0.26886,-0.39047,-0.03009,-1.9861,2.7783,1.7894e-05,1.8269e-11,43993,0,-0.39047,0,-0.03009,-1.9861,1,-0.3089,0,0.065659
0.9101,7,1.1345e+07,1,5688,1.225,7.4375,0.37528,0.023894,-1453.1,6.7088e-05,269.8,440.49,-8.5068e+05,-8.5068e+05,0,43223,277.24,0.0001419,0.0097867,7.7396e-05,0.26717,-0.43509,-0.028102,-2.3933,2.9534,1.7894e-05,1.8832e-11,43206,0,-0.43509,0,-0.028102,-2.3933,1,-0.31,0,0.060257
0.92229,7,1.1298e+07,1,5688,1.225,8.6143,0.37528,0.023894,-1318.5,6.6929e-05,273.41,446.39,-9.4512e+05,-9.4512e+05,0,42735,282.03,0.000141,0.0098069,7.8163e-05,0.26638,-0.45996,-0.028392,-2.7956,3.1588,1.7894e-05,1.943e-11,42716,0,-0.45996,0,-0.028392,-2.7956,1,-0.311,0,0.054838
